,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
140,Coup de Torchon,Bertrand Tavernier,,"['Henri Lassa', 'Adolphe Viezzi']","['Philippe Noiret', 'Isabelle Huppert', 'Jean-Pierre Marielle']",Pierre-Wiliam Glenn,Armand Psenny,Philippe Sarde,"['Parafrance Films (France)', ""Biograph Int'l (US)""]",['4 November 1981'],128 minutes,France,French,128,1981-11-04,7.5,N/A,83%,"A pathetic police chief, humiliated by everyone around him, suddenly wants a clean slate in life - and resorts to drastic means to do so.","Comedy, Crime, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,"['Bertrand Tavernier', 'Jean Aurenche']",,"['Pop. 1280', 'by', 'Jim Thompson']",,,$16.5 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Flight of the Eagle,Jan Troell,"['Screenplay:', 'Jan Troell', 'Georg Oddner', 'Ian Rakoff', 'Klaus Rifbjerg', 'Novel:', 'Per Olof Sundman']","['Jörn Donner', 'Göran Setterberg']","['Max von Sydow', 'Sverre Anker Ousdal', 'Göran Stangertz', '.']",Jan Troell,Jan Troell,"['Carl-Axel Dominique', 'Hans-Erik Philip']",,['26 August 1982 (Sweden)'],140 minutes,,,140,1982-08-26,,,,,,,,,,,20 million SEK,,,"['Sweden', 'West Germany', 'Norway']","['Swedish', 'French']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Private Life,Yuli Raizman,"['Anatoli Grebnev', 'Yuli Raizman']",,"['Mikhail Ulyanov', 'Iya Savvina', 'Irina Gubanova', 'Tatyana Dogileva']","['Emil Gulidov', 'Valentin Piganov']",Valeriya Belova,Vyacheslav Ganelin,,['1982'],102 minutes,Soviet Union,Russian,102,,7.2,83,93%,"An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.","Comedy, Drama",1 win & 17 nominations,,,,Mosfilm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Fanny and Alexander,Ingmar Bergman,Ingmar Bergman,Jörn Donner,"['Pernilla Allwin', 'Bertil Guve', 'Jan Malmsjö', 'Börje Ahlstedt', 'Anna Bergman', 'Gunn Wållgren', 'Kristina Adolphson', 'Erland Josephson', 'Mats Bergman', 'Jarl Kulle']",Sven Nykvist,Sylvia Ingemarsson,Daniel Bell,"['Sandrew Film & Teater', '(Sweden)', 'Gaumont (France)', 'Tobis Film (Germany)']","['17 December 1982 (Sweden )', '9 March 1983 (France )', '8 October 1983 (West Germany )']","['TV miniseries: 312 minutes', 'Theatrical film: 188 minutes']",,,TV,1982-12-17,,,,,,,,,,,USD $6 million,USD$6.7 million,"['Cinematograph', 'Sveriges Television', 'Gaumont International', 'Personafilm', 'Tobis Film', 'Swedish Film Institute']","['Sweden', 'France', 'West Germany']",['Swedish German'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Carmen,Carlos Saura,"['Prosper Mérimée (novel)', 'Carlos Saura', 'Antonio Gades']",Emiliano Piedra,"['Antonio Gades', 'Laura del Sol']",Teo Escamilla,Pedro del Rey,Paco de Lucía,,['6 May 1983'],102 minutes,Spain,Spanish,102,1983-05-06,7.6,N/A,,"A group of flamenco dancers are rehearsing a very Spanish version of Bizet's dramatization of Prosper Merimee's novella Carmen. The choreographer Antonio falls in love with Carmen, the main dancer. Their story then turns similar to t","Drama, Music, Romance",Nominated for 1 Oscar. 9 wins & 8 nominations total,,,,,,$3.1 million (United States and Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Entre Nous,Diane Kurys,"['Olivier Cohen', '(book)', 'Diane Kurys', '(book)', 'Alain Le Henry']",Ariel Zeitoun,"['Miou-Miou', 'Isabelle Huppert', 'Guy Marchand']",Bernard Lutic,Joële Van Effenterre,Luis Enríquez Bacalov,Gaumont,['6 April 1983'],110 minutes,France,French,110,1983-04-06,N/A,N/A,,"Elodie and Laetitia live in close love and dream of having a child. As Elodie discovers that she cannot get pregnant because of a health problem and encounters financial troubles, they decide to take a roommate.",Drama,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Le Bal,Ettore Scola,"['Jean-Claude Penchenat', 'Ruggero Maccari', 'Furio Scarpelli', 'Ettore Scola']",Franco Committeri,,Ricardo Aronovich,Raimondo Crociani,Vladimir Cosma,"['AMLF (France)', 'Almi Classics (USA)', 'L.C.J. Editions & Productions (Worldwide)']",['21 December 1983'],110 minutes,,No dialogue,110,1983-12-21,7.7,N/A,,"Dance moves, music and fashion mark the passage of time inside a Paris dance hall, throughout fifty years of history.","History, Musical",Nominated for 1 Oscar. 10 wins & 9 nominations total,,,,,,,"['Cinéproduction', 'Films A2', 'Massfilm', 'O.N.C.I.C.', 'Ministère de la Culture de la Republique Française']","['Italy', 'France', 'Algeria']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Dangerous Moves,Richard Dembo,Richard Dembo,"['Arthur Cohn', 'Martine Marignac']","['Michel Piccoli', 'Alexandre Arbatt', 'Liv Ullmann']",Raoul Coutard,Agnès Guillemot,Gabriel Yared,Gaumont,['25 April 1984'],110 minutes,,French,110,1984-04-25,,,,,,,,,,,,$2.5 million,,"['France', 'Switzerland']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Me'Ahorei Hasoragim,Uri Barbash,"['Benny Barbash', 'Eran Preis']","['Rudy Cohen', 'Katriel Schori']","['Arnon Zadok', 'Mohammed Bakri', 'Assi Dayan', 'Rami Danon']",Amnon Salomon,Tova Asher,Ilan Virtzberg,,['15 February 1985 (USA)'],103 minutes,Israel,Hebrew,103,1985-02-15,6.8,N/A,,"In Israel's Central Prison, the security officer is corrupt, supplying drugs and stirring the hatred between Jewish and Arab prisoners to his advantage. Uri, in for 12 years for armed robbery, and Issan, in for 50 years for PLO viole",Drama,Nominated for 1 Oscar. 5 wins & 1 nomination total,,,,,,"$400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Camila,María Luisa Bemberg,"['María Luisa Bemberg', 'Beda Docampo Feijóo', 'Juan Bautista Stagnaro']",Lita Stantic,"['Susú Pecoraro', 'Imanol Arias', 'Héctor Alterio']",Fernando Arribas,Luis César D'Angiolillo,Luis María Sierra,,['17 May 1984'],105 minutes,Argentina,Spanish,105,1984-05-17,6.9,N/A,,"In 1840's Buenos Aires, Argentina, a beautiful young socialite named Camila falls in love with Ladislao, a Jesuit priest. After several failed attempts at fighting his own feelings, he ultimately succumbs to her. The two later escape","Drama, Romance",Nominated for 1 Oscar. 2 wins & 2 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Sesión continua,José Luis Garci,"['José Luis Garci', 'Horacio Valcárcel']",José Luis Garci,"['Adolfo Marsillach', 'Jesús Puente', 'Encarna Paso', 'Emma Suárez', 'María Casanova']",Manuel Rojas,Miguel González Sinde,Jesús Gluck,,['10 September 1984'],115 minutes,Spain,Spanish,115,1984-09-10,6.3,N/A,,The film tells the story of the friendship between two men who live their lives through movies. One is a director who is having trouble connecting with his children; the other is a screenwriter and playwright who is having trouble wi,Drama,Nominated for 1 Oscar. 1 nomination total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Wartime Romance (Военно-полевой роман),Pyotr Todorovsky,Pyotr Todorovsky,,"['Nikolai Burlyayev', 'Natalya Andrejchenko', 'Inna Churikova']",Valery Blinov,,"['Pyotr Todorovsky', 'Igor Kantyukov']",,['1983'],92 minutes,Soviet Union,Russian,92,,N/A,N/A,,N/A,"Drama, Short",N/A,,,,Odessa Film Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,The Official Story,Luis Puenzo,"['Aída Bortnik', 'Luis Puenzo']",Marcelo Piñeyro,"['Héctor Alterio', 'Norma Aleandro', 'Hugo Arana', 'Guillermo Battaglia', 'Chela Ruiz', 'Patricio Contreras', 'Aníbal Morixe', 'María Luisa Robledo', 'Jorge Petraglia', 'Analía Castro', 'Chunchuna Villafañe']",Félix Monti,Juan Carlos Macías,"['Atilio Stampone', 'Song:', 'María Elena Walsh']",Almi Pictures (US theatrical),['3 April 1985 (Argentina)'],112 minutes,Argentina,Spanish,112,1985-04-03,7.1,N/A,,This documentary tells the story about one of the most influential bands in black music: Earth Wind & Fire. Most original band members are featured to tell their story and some snippets of previously unreleased live music is shown.,"Biography, Music",N/A,,,,,,,"['Historias Cinematograficas Cinemania', 'Progress Communications']",,,,,,,,,,,La historia oficial,,,,,,,,,,,,,,,,,,,
153,Angry Harvest,Agnieszka Holland,"['Paul Hengge', 'Agnieszka Holland']","['Artur Brauner', 'Peter Hahne', 'Klaus-Dieter Lehmann', 'Klaus Riemer']","['Armin Mueller-Stahl', 'Elisabeth Trissenaar']",Jozef Ort-Snep,Barbara Kunze,Jörg Straßburger,Concorde Filmverleih,['20 February 1985'],105 minutes,West Germany,German,105,1985-02-20,,,,,,,,,,CCC Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Colonel Redl,István Szabó,"['István Szabó', 'Péter Dobai']",Manfred Durniok,"['Klaus Maria Brandauer', 'Gudrun Landgrebe', 'Hans-Christian Blech', 'Jan Niklas', 'Armin Mueller-Stahl']",Lajos Koltai,Zsuzsa Csákány,Zdenkó Tamássy,Orion Pictures (USA),"['20 February 1985 (Hungary)', '29 March 1985 (West Germany)']",144 minutes,,,144,1985-02-20,,,,,,,,,"['A Patriot for Me', 'by', 'John Osborne']",,,,"['Jadran Film', 'MAFILM', 'Objektív Filmstúdió']","['Hungary', 'West Germany', 'Austria']","['German', 'Hungarian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Trois hommes et un couffin,Coline Serreau,Coline Serreau,Jean-Francois Lepetit,"['Roland Giraud', 'Michel Boujenah', 'André Dussollier', 'Dominique Lavanant', 'Philippine Leroy-Beaulieu']","['Jean-Jacques Bouhon', 'Jean-Yves Escoffier']",Catherine Renault,Franz Schubert,Acteurs Auteurs Associés,['1985'],106 minutes,France,French,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,When Father Was Away on Business,Emir Kusturica,Abdulah Sidran,Mirza Pašić,"['Moreno De Bartoli', 'Miki Manojlović', 'Mirjana Karanović', 'Mustafa Nadarević', 'Mira Furlan', 'Davor Dujmović', 'Predrag Laković', 'Pavle Vujisić']",Vilko Filač,Andrija Zafranović,Zoran Simjanović,"['Scotia International Filmverleih', '(1985) (West Germany)', 'Cannon Film Distributors', '(USA) (subtitled)', 'Hollydan Works', '(2007-2008) (Non-US)', 'Koch Lorber Films', '(2005) (USA)']","['15 January 1985 (SFR Yugoslavia)', '12 September 1985 (West Germany)']",136 minutes,,Serbo-Croatian,136,1985-01-15,,,,,,,,,,,,"['$25,053', '(West Germany only)', '$16,131', '(USA only)']","['Centar Film', 'Forum Sarajevo']",Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,The Assault,Fons Rademakers,,Fons Rademakers,"['Derek de Lint', 'Marc van Uchelen', 'Monique van de Ven']",Theo van de Sande,Kees Linthorst,Jurriaan Andriessen,Cannon Films,['6 February 1986'],144 minutes,Netherlands,,144,1986-02-06,6.4,N/A,,"Sam Gleason lives in a town where high school football is the backbone of the community. When she accuses a member of the team of committing heinous acts against her on a night she can't even remember, will anyone believe her?","Crime, Drama, Mystery",N/A,Gerard Soeteman,,"['The Assault', 'by', 'Harry Mulisch']",Fons Rademakers Produktie,,,,,"['Dutch', 'English', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,38 - Auch das war Wien,Wolfgang Glück,"['Friedrich Torberg (novel)', 'Wolfgang Glück']","['Michael von Wolkenstein', 'Christine Gouze-Rénal (co-producer)', 'Herbert Reutterer (executive producer)']","['Tobias Engel', 'Sunnyi Melles']",Gérard Vandenberg,"['Heidi Handorf', 'Wolfgang B. Heine']",Bert Grund,East West Classics,"['1986 (Austria)', '23 April 1987 (West Germany)']",97 minutes,,German,97,,,,,,,,,,,,,,,"['West Germany', 'Austria']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Betty Blue,Jean-Jacques Beineix,"['Jean-Jacques Beineix', 'Philippe Djian', '(', 'novel', ')']",Jean-Jacques Beineix,"['Jean-Hugues Anglade', 'Béatrice Dalle', 'Gérard Darmon', 'Consuelo de Haviland', 'Jacques Mathou', 'Clémentine Célarié', 'Vincent Lindon']",Jean-François Robin,Monique Prim,Gabriel Yared,Gaumont,['7 November 1986'],"['120 minutes', ""185 minutes (Director's cut)""]",France,French,120,1986-11-07,6.5,N/A,,N/A,Adult,N/A,,,,,,$2 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,The Decline of the American Empire,Denys Arcand,Denys Arcand,"['Roger Frappier', 'René Malo']","['Dominique Michel', 'Dorothée Berryman', 'Rémy Girard', 'Pierre Curzi', 'Louise Portal', 'Yves Jacques', 'Geneviève Rioux', 'Daniel Brière', 'Gabriel Arcand']",Guy Dufaux,Monique Fortier,François Dompierre,Malofilms (Canada),"['June 19, 1986 (Quebec)']",101 minutes,Canada,,101,1986-06-19,,,,,,,,,,,$1.8 million,$30 million,,,"['French', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,My Sweet Little Village,Jiří Menzel,Zdeněk Svěrák,Zbyněk Hloch,"['János Bán', 'Marián Labuda', 'Rudolf Hrušínský', 'Petr Čepek', 'Libuše Šafránková', 'Jan Hartl']",Jaromír Šofr,Jiří Brožek,Jiří Šust,Ústřední půjčovna filmů,['1985'],98 minutes,Czechoslovakia,Czech,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Babette's Feast,Gabriel Axel,,"['Just Betzer', 'Bo Christensen', 'Benni Korzen', 'Pernille Siesbye']","['Stephane Audran', 'Birgitte Federspiel', 'Bodil Kjer']",Henning Kristiansen,Finn Henriksen,Per Nørgård,,['28 August 1987'],102 minutes,Denmark,,102,1987-08-28,,,,,,,Gabriel Axel,,"[""Babette's Feast"", 'by', 'Isak Dinesen']",Nordisk Film,,$4.4 million,,,"['Danish', 'Swedish', 'French']",Ghita Nørby,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Au revoir les enfants,Louis Malle,Louis Malle,Louis Malle,"['Gaspard Manesse', 'Raphaël Fejtő', 'Philippe Morier-Genoud', 'Francine Racette']",Renato Berta,Emmanuelle Castro,"['Schubert', 'Saint-Saëns']",MK2 Diffusion,"['29 August 1987 ( Venice )', '7 October 1987 (France)']",104 minutes,,,104,1987-08-29,8.0,88,97%,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.","Drama, War",Nominated for 2 Oscars. 28 wins & 13 nominations total,,,,,,$4.5 million,,"['France', 'West Germany', 'Italy']","['French', 'German']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Course Completed,José Luis Garci,"['José Luis Garci', 'Horacio Valcárcel']",José Luis Garci,"['Jesús Puente', 'Victoria Vera', 'Teresa Gimpera', 'Eduardo Hoyo']",Manuel Rojas,Miguel González Sinde,Jesús Gluck,,"['23 April 1987 (Spain)', '5 May 1988 (Argentina)']",94 minutes,Spain,Spanish,94,1987-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,La famiglia The Family,Ettore Scola,"['Ruggero Maccari', 'Ettore Scola', 'Furio Scarpelli']",Franco Committeri,"['Vittorio Gassman', 'Stefania Sandrelli', 'Fanny Ardant', 'Sergio Castellitto', 'Athina Cenci', 'Jo Champa', 'Massimo Dapporto', 'Cecilia Dazzi', 'Hania Kochansky', 'Dagmar Lassander', 'Andrea Occhipinti', 'Alessandra Panelli', 'Memè Perlini', 'Ottavia Piccolo', 'Monica Scattini', 'Barbara Scoppa', 'Ricky Tognazzi', 'Massimo Venturiello', 'Philippe Noiret', 'Carlo Dapporto', 'Renzo Palmer']",Ricardo Aronovich,Francesco Malvestito,Armando Trovajoli,,['22 January 1987'],137 minutes,Italy,Italian,137,1987-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Pathfinder,Nils Gaup,Nils Gaup,John M. Jacobsen,"['Mikkel Gaup', 'Nils Utsi', 'Helgi Skúlason', 'Sara Harit Gaup']",Erling Thurmann-Andersen,,"['Nils-Aslak Valkeapää', 'Marius Müller', 'Kjetil Bjerkestrand']","['International Film Exchange', 'Carolco Pictures', '(United\xa0States)']",3 September 1987,86 minutes,Norway,Northern Sami,86,1987-09-03,5.4,29,10%,"A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe, he ultimately becomes their savior in a fight against the Norsemen.","Action, Adventure, Drama",1 nomination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Pelle the Conqueror,Bille August,,Per Holst,"['Max von Sydow', 'Pelle Hvenegaard', 'Erik Paaske', 'Bjørn Granath']",Jörgen Persson,Janus Billeskov Jansen,Stefan Nilsson,"['Svensk Filmindustri', 'Kærne Film']",['25 December 1987'],157 minutes,,,157,1987-12-25,,,,,,,"['Bille August', 'Per Olov Enquist', 'Bjarne Reuter', 'Max Lundgren']",,"['Pelle Erobreren', 'by', 'Martin Andersen Nexø']",,$4.5 million,"$2,053,931","['Odyssey Entertainment', 'Svensk Filmindustri', 'Per Holst Filmproduktion']","['Denmark', 'Sweden']","['Scanian', 'Danish', 'Swedish']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Hanussen,István Szabó,"['Péter Dobai', 'István Szabó']","['Artur Brauner', 'Judit Sugár']","['Klaus Maria Brandauer', 'Erland Josephson', 'Walter Schmidinger']",Lajos Koltai,"['Zsuzsa Csákány', 'Brigitta Kajdácsi', 'Bettina Rekuc', 'Éva Szentandrási']",György Vukán,,['6 October 1988'],140 minutes,,,140,1988-10-06,7.2,N/A,,"A man's story parallels Hitler's rise. Austrian Klaus Schneider, wounded in World War I, recovers in the care of Dr. Emil Bettleheim. Bettleheim discovers that Schneider possesses powers of empathy and of clairvoyance, such that coul","Drama, History",Nominated for 1 Oscar. 1 win & 6 nominations total,,,,,"$59,701","$82,635",,"Hungary, West Germany, Austria","Hungarian, German",,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,The Music Teacher,Gérard Corbiau,Gérard Corbiau,,"['José van Dam', 'Anne Roussel', 'Philippe Volter', 'Sylvie Fennec', 'Patrick Bauchau']",,,,,['May 1988 ( Cannes )'],99 minutes,Belgium,French,99,1988-05-01,5.8,N/A,,"When a high-school music teacher loses her program, her former students spring into action to save it.",Drama,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Salaam Bombay!,Mira Nair,"['Mira Nair', 'Sooni Taraporevala']","['Mira Nair', 'Michael Nozik']","['Shafiq Syed', 'Irrfan Khan', 'Raghuvir Yadav', 'Anita Kanwar', 'Nana Patekar', 'Chanda Sharma']",Sandi Sissel,Barry Alexander Brown,L. Subramaniam,"['Alliance (Canada)', 'Cinecom Pictures (USA)', 'Dendy Films (Australia)', 'Transmundo Films (Argentina)', 'Tamasa Distribution (France)']","['May 11, 1988 ( Cannes Film Festival )', 'September 13, 1988 ( TIFF )', 'October 7, 1988 (Worldwide)']",113 minutes,India,Hindi,113,1988-05-11,8.0,78,93%,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India.","Crime, Drama",Nominated for 1 Oscar. 13 wins & 8 nominations total,Sooni Taraporevala,Mira Nair,,,"$450,000",est. $7.5 million (overseas),"['Cadrage', 'Channel Four Films', 'Doordarshan', 'La Sept Cinéma', 'Mirabai Films', 'NFDC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,Pedro Almodóvar,Agustín Almodóvar,"['Carmen Maura', 'Antonio Banderas', 'Julieta Serrano']",José Luis Alcaine,José Salcedo,Bernardo Bonezzi,Lauren Films,['25 March 1988 (Spain)'],89 minutes,Spain,Spanish,89,1988-03-25,,,,,,,,,,,,"['P 1.1 billion ($8 million ) (Spain)', '$7.2 million (US and Canada)']","['El Deseo', 'Laurenfilm']",,,,,,,,,,,Mujeres al borde de un ataque de nervios,,,,,,,,,,,,,,,,,,,
172,Cinema Paradiso,Giuseppe Tornatore,Giuseppe Tornatore,"['Franco Cristaldi', 'Giovanna Romagnoli']","['Philippe Noiret', 'Jacques Perrin', 'Antonella Attili', 'Pupella Maggio', 'Salvatore Cascio']",Blasco Giurato,Mario Morra,"['Ennio Morricone', 'Andrea Morricone']",Titanus,['17 November 1988'],"['155 minutes', ""173 minutes (director's cut)"", '124 minutes (international cut)']",Italy,,155,1988-11-17,8.5,80,90%,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Drama, Romance",Won 1 Oscar. 25 wins & 32 nominations total,,,,,US$5 million,"$12,397,210 (US only)","['Les Films Ariane', 'RAI', 'TF1', 'Cristaldi Film', 'Forum Picture']",,"['Italian', 'English', 'Portuguese', 'Sicilian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Camille Claudel,Bruno Nuytten,"['Bruno Nuytten', 'Marilyn Goldin']","['Isabelle Adjani', 'Christian Fechner']","['Isabelle Adjani', 'Gérard Depardieu']",Pierre Lhomme,"['Joëlle Hache', 'Jeanne Kef']",Gabriel Yared,Gaumont,['7 December 1988 (France)'],175 minutes,France,French,175,1988-12-07,7.3,N/A,100%,"Camille Claude impresses already-famous sculptor Auguste Rodin. He hires her as an assistant, but soon Camille begins to sculpt for herself and she also becomes his mistress. But after a while, she would like to get out of his shadow","Biography, Drama, History",Nominated for 2 Oscars. 7 wins & 14 nominations total,,,,,,$23.7 million,"['Films Christian Fechner', 'Lilith Films I.A.', 'Gaumont', 'Antenne 2 TV France', 'Films A2', 'D.D. Productions']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Jesus of Montreal,Denys Arcand,Denys Arcand,"['Roger Frappier', 'Pierre Gendron', 'Monique Létourneau']","['Lothaire Bluteau', 'Catherine Wilkening', 'Johanne-Marie Tremblay']",Guy Dufaux,Isabelle Dedieu,Yves Laferriere,"['Cineplex Odeon Films', 'Orion Classics']",['17 May 1989'],118 minutes,,,118,1989-05-17,,,,,,,,,,,$4.2 million,C$ 3 million (Canada),,"['Canada', 'France']","['French', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Waltzing Regitze,Kaspar Rostrup,"['Kaspar Rostrup', 'Martha Christensen (novel)']",Lars Kolvig,"['Ghita Nørby', 'Frits Helmuth', 'Henning Moritzen']",Claus Loof,Grete Møldrup,Fuzzy,Nordisk Film,['17 November 1989'],87 minutes,Denmark,Danish,87,1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Lo que le pasó a Santiago,Jacobo Morales,Jacobo Morales,"['Blanca Silvia Eró', 'Pedro Muñíz']","['Tommy Muñiz', 'Gladys Rodríguez', 'Johanna Rosaly', 'René Monclova']",,,Pedro Rivera Toledo,,['1989'],105 minutes,Puerto Rico,Spanish,105,,7.1,N/A,,"Santiago, a retired accountant, casually meets Angelina during one of his daily walks in Old San Juan. They soon become friends, even though she refuses to give out any personal information.","Comedy, Drama, Romance",Nominated for 1 Oscar. 1 win & 1 nomination total,,,,,"$500,000",,"['Taleski Studios Inc.', 'Dios los Cria Inc.', 'Bacalao Inc.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
